id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guip6j,Piring kayu jati premium berbentuk ketupat,Ruang Makan,Baru,0,0,4,0,0,0,80910,89900,10,Piring kayu jati premium berbentuk ketupat<br><br/><br><br/>ukuran 26x13x3cm
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guiotj,Spatula kayu jati premium - model lubang,Peralatan Masak Lainnya,Baru,0,0,10,1,0,0,45400,49900,9,Spatula kayu jati premium - model lubang<br><br/><br><br/>ukuran 37x6cm
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guintd,Coverpot seagrass tanaman - Mini pot sintesis 3set - Variant warna 4,Tanaman Hias,Baru,0,0,6,0,0,0,74800,88000,15,"<p>Coverpot seagrass tanaman / Mini pot sintesis 3set</p><ul><li>1paket isi 3pcs</li><li>Ukuran Besar (Diameter 19cm Tinggi 20cm) Sedang (Diameter 17cm Tinggi 18cm) Kecil (Diameter 14,5cm Tinggi 16cm)</li><li>Tersedia dalam Pilihan Warna</li><li>Tersedia Motif Polos dan Mix Warna</li><li>Anyaman Rapi</li></ul><p>Bagi pecinta tanaman segera miliki cover pot ini membuat dekorasi rumah terliat lebih cantik dan manis alami. Terbuat dari bahan berkualitas terbaik alami seagrass mix sintesis ( daun pandan yg sudah dikeringkan) oleh pengrajin yang kreatif.</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guinsg,Coverpot seagrass tanaman - Mini pot sintesis 3set - variant warna 3,Tanaman Hias,Baru,0,0,8,1,0,0,74800,88000,15,"Coverpot seagrass tanaman / Mini pot sintesis 3set<br><br/><br><br/>- 1paket isi 3pcs<br><br/>- Ukuran Besar (Diameter 19cm Tinggi 20cm) Sedang (Diameter 17cm Tinggi 18cm) Kecil (Diameter 14,5cm Tinggi 16cm)<br><br/>- Tersedia dalam Pilihan Warna<br><br/>- Tersedia Motif Polos dan Mix Warna<br><br/>- Anyaman Rapi<br><br/><br><br/>Bagi pecinta tanaman segera miliki cover pot ini membuat dekorasi rumah terliat lebih cantik dan manis alami. Terbuat dari bahan berkualitas terbaik alami seagrass mix sintesis ( daun pandan yg sudah dikeringkan) oleh pengrajin yang kreatif."
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guinpp,Coverpot seagrass tanaman - Mini pot sintesis 3set - variant warna 2,Tanaman Hias,Baru,0,0,4,1,0,0,74800,88000,15,"Coverpot seagrass tanaman / Mini pot sintesis 3set<br><br/><br><br/>- 1paket isi 3pcs<br><br/>- Ukuran Besar (Diameter 19cm Tinggi 20cm) Sedang (Diameter 17cm Tinggi 18cm) Kecil (Diameter 14,5cm Tinggi 16cm)<br><br/>- Tersedia dalam Pilihan Warna<br><br/>- Tersedia Motif Polos dan Mix Warna<br><br/>- Anyaman Rapi<br><br/><br><br/>Bagi pecinta tanaman segera miliki cover pot ini membuat dekorasi rumah terliat lebih cantik dan manis alami. Terbuat dari bahan berkualitas terbaik alami seagrass mix sintesis ( daun pandan yg sudah dikeringkan) oleh pengrajin yang kreatif."
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guink1,Coverpot seagrass tanaman - Mini pot sintesis 3set - variant warna 1,Tanaman Hias,Baru,0,0,2,1,0,0,74800,88000,15,"<p>Coverpot seagrass tanaman / Mini pot sintesis 3set</p><ul><li>1paket isi 3pcs</li><li>Ukuran Besar (Diameter 19cm Tinggi 20cm) Sedang (Diameter 17cm Tinggi 18cm) Kecil (Diameter 14,5cm Tinggi 16cm)</li><li>Tersedia dalam Pilihan Warna</li><li>Tersedia Motif Polos dan Mix Warna</li><li>Anyaman Rapi</li></ul><p>Bagi pecinta tanaman segera miliki cover pot ini membuat dekorasi rumah terliat lebih cantik dan manis alami. Terbuat dari bahan berkualitas terbaik alami seagrass mix sintesis ( daun pandan yg sudah dikeringkan) oleh pengrajin yang kreatif.</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guin8v,Piring Kayu Jati Premium Baby 2 Lubang,Peralatan Makan & Minum,Baru,0,0,2,1,0,0,116900,124900,6,"Piring Kayu Jati Premium Baby 2 Lubang<br><br/><br><br/>Ukuran : 24x17,5x2cm"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guh5cv,Piring Kayu Jati Premium Model Angka 8 Besar,Ruang Makan,Baru,0,0,5,1,0,0,114855,120900,5,"<p>Piring Kayu Jati Premium berbentuk angka 8</p><p>Ukuran besar 25,5x16&amp;14x2cm<br>Ukuran Kecil 22,5x14&amp;12x2cm</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4guh2u4,Talenan Kayu Jati Premium - Model Pingpong,Peralatan Masak Lainnya,Baru,0,0,5,2,0,0,89900,89900,0,"Talenan Kayu Jati Premium - Model Pingpong<br><br/><br><br/>Talenan kayu terbuat dari pohon jati premium berbentuk bulat seperti raket pingpong<br><br/><br><br/>ukuran P = 30cm T = 1,6cm D = 22cm"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gugvf1,Irus - centong sayur kayu jati premium,Peralatan Makan & Minum,Baru,0,0,5,0,0,0,41400,45900,10,<p>Irus / centong sayur kayu jati premium dengan kayu jati premium <br>ukuran 24x5x3cm</p>
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gugtoy,Centong nasi kayu jati premium,Peralatan Masak Lainnya,Baru,5,1,8,1,1,0,43000,48000,10,Centong nasi kayu jati<br><br/><br><br/>dengan ukuran<br><br/>23x7
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gugsby,Mangkuk kayu jati premium,Peralatan Masak Lainnya,Baru,0,0,6,2,0,0,104900,104900,0,Mangkuk kayu jati premium bebentuk bulat<br><br/><br><br/>ukuran diameter 15cm
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gugq67,Tas Penyimpanan Pakaian Dalam - Travel Bag Pakaian Dalam - Tas Multifungsi Gaya Korea,Koper & Travel Bag,Baru,5,1,3,3,2,0,31000,31000,0,"Tas Penyimpanan Pakaian Dalam Multifungsi Gaya Korea<br><br/><br><br/>Bahan Kain Oxfor 600D<br><br/>Warna: Dark Orange,Peach Pink,Gray<br><br/>Ukuran: 27 x 10 x 14 cm<br><br/>Berat: 120g<br><br/>Bahan: Kain Oxford<br><br/><br><br/>Penyimpanan yang mudah untuk perjalanan yang menyenangkan, benda-benda kecil yang berantakan tersimpan dengan rapi dan teratur;<br><br/><br><br/>Kapasitas besar, desain pegangan yang kokoh, stabil dan tidak berubah bentuk, kain Oxford 600D tahan air dan tahan lama;<br><br/><br><br/>Penyimpanan multi-kompartemen, mudah memisahkan berbagai jenis pakaian dalam;<br><br/><br><br/>Desain kepala ritsleting dua arah, halus dan nyaman, bergaya dan indah"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gugols,"Tas Penyimpanan Serut & Kantong Plastik Matte serut 1set isi 10 pcs,",Tenis Lainnya,Baru,5,3,135,8,9,0,12000,14000,14,"<p>Tas Penyimpanan Serut / Kantong Plastik Matte Serut 1 Set isi 10pcs<br>Spesifikasi:<br>Pilihan Motif : Krisan Besar (10pcs), Ceri (10pcs), Krisan Kecil (10pcs)<br>Ukuran: 18 x 25 cm<br>Berat: 16g<br>Bahan: PE</p><p>Tas Penyimpanan Serut - cukup tarik talinya untuk mengencangkan dan menutup tas, menutup dengan rapat, tidak mudah robek.</p><p>Menggunakan bahan berkualitas tinggi, tahan air dan tahan lembab, dapat didaur ulang, dan tidak memakan tempat.</p><p>Saat keluar, Anda dapat menggunakan tas serut ini untuk menyimpan pakaian dan perlengkapan mandi secara terpisah, portabel dan nyaman untuk dibawa pergi.</p>"
